name	salary
Podkolzin, Vasily	$1,000,000
Ryan, Derek	$900,000
Savoie, Matthew	$886,667
Nurse, Darnell	$9,250,000
Ekholm, Mattias	$6,000,000
Bouchard, Evan	$3,900,000
Kulak, Brett	$2,750,000
Emberson, Ty	$950,000
Stecher, Troy	$787,500
Skinner, Stuart	$2,600,000
Pickard, Calvin	$1,000,000
Barkov, Aleksander	$10,000,000
Tkachuk, Matthew	$9,500,000
Reinhart, Sam	$8,625,000
Lundell, Anton	$5,000,000
Bennett, Sam	$4,425,000
Verhaeghe, Carter	$4,166,667
Rodrigues, Evan	$3,000,000
Luostarinen, Eetu	$3,000,000
Samoskevich, Mackie	$925,000
Greer, A.J.	$850,000
Sourdif, Justin	$847,500
Gadjovich, Jonah	$775,000
Nosek, Tomas	$775,000
Boqvist, Jesper	$775,000
Entwistle, MacKenzie	$775,000
Ekblad, Aaron	$7,500,000
Forsling, Gustav	$5,750,000
Mikkola, Niko	$2,500,000
Kulikov, Dmitry	$1,150,000
Balinskis, Uvis	$850,000
Schmidt, Nate	$800,000
Boqvist, Adam	$775,000
Bobrovsky, Sergei	$10,000,000
Driedger, Chris	$795,000
Fiala, Kevin	$7,875,000
Kopitar, Anze	$7,000,000
Byfield, Quinton	$6,250,000
Kempe, Adrian	$5,500,000
Danault, Phillip	$5,500,000
Moore, Trevor	$4,200,000
Foegele, Warren	$3,500,000
Jeannot, Tanner	$2,665,000
Laferriere, Alex	$875,000
Lewis, Trevor	$800,000
Thomas, Akil	$775,000
Turcotte, Alex	$775,000
Doughty, Drew	$11,000,000
Gavrikov, Vladislav	$5,875,000
Anderson, Mikey	$4,125,000
Edmundson, Joel	$3,850,000
Spence, Jordan	$1,500,000
Burroughs, Kyle	$1,100,000
Englund, Andreas	$1,000,000
Clarke, Brandt	$863,333
Jones, Caleb	$775,000
Kuemper, Darcy	$5,250,000
Rittich, David	$1,000,000
Kaprizov, Kirill	$9,000,000
Boldy, Matt	$7,000,000
Eriksson Ek, Joel	$5,250,000
Zuccarello, Mats	$4,125,000
Foligno, Marcus	$4,000,000
Hartman, Ryan	$4,000,000
Trenin, Yakov	$3,500,000
Gaudreau, Frederick	$2,100,000
Johansson, Marcus	$2,000,000
Khusnutdinov, Marat	$925,000
Ohgren, Liam	$886,667
Rossi, Marco	$863,333
Lauko, Jakub	$787,500
Spurgeon, Jared	$7,575,000
Brodin, Jonas	$6,000,000
Middleton, Jake	$2,450,000
Bogosian, Zach	$1,250,000
Merrill, Jon	$1,200,000
Chisholm, Declan	$1,000,000
Faber, Brock	$925,000
Gustavsson, Filip	$3,750,000
Fleury, Marc-Andre	$2,500,000
Wallstedt, Jesper	$925,000
Laine, Patrik	$8,700,000
Suzuki, Nick	$7,875,000
Caufield, Cole	$7,850,000
Gallagher, Brendan	$6,500,000
Anderson, Josh	$5,500,000
Dvorak, Christian	$4,450,000
Armia, Joel	$3,400,000
Dach, Kirby	$3,362,500
Newhook, Alex	$2,900,000
Evans, Jake	$1,700,000
Harvey-Pinard, Rafael	$1,100,000
Slafkovsky, Juraj	$950,000
Pezzetta, Michael	$812,500
Barré-Boulet, Alex	$775,000
Matheson, Mike	$4,875,000
